id_ccbh,interpro_go_id
PA4851_00535,F:GO:0004089
PA4851_00535,F:GO:0008270
PA4851_00540,F:GO:0008271
PA4851_00540,P:GO:0008272
PA4851_00540,F:GO:0015116
PA4851_00540,C:GO:0016020
PA4851_00540,C:GO:0016021
PA4851_00540,P:GO:0055085
PA4851_00545,no IPS match
PA4851_00550,F:GO:0004129
PA4851_00550,F:GO:0005507
PA4851_00550,F:GO:0009055
PA4851_00550,C:GO:0016020
PA4851_00550,C:GO:0016021
PA4851_00550,F:GO:0016491
PA4851_00550,F:GO:0020037
PA4851_00550,P:GO:0022900
PA4851_00555,F:GO:0004129
PA4851_00555,C:GO:0005886
PA4851_00555,P:GO:0009060
PA4851_00555,P:GO:0015990
PA4851_00555,C:GO:0016021
PA4851_00555,F:GO:0020037
PA4851_00555,C:GO:0045277
PA4851_00555,P:GO:0055114
PA4851_00560,F:GO:0005507
PA4851_00565,F:GO:0004129
PA4851_00565,F:GO:0015002
PA4851_00565,C:GO:0016020
PA4851_00565,P:GO:0019646
PA4851_00565,P:GO:0022904
PA4851_00570,no GO terms
PA4851_00575,C:GO:0016020
PA4851_00580,no IPS match
PA4851_00585,P:GO:0006784
PA4851_00585,C:GO:0016021
PA4851_00585,F:GO:0016627
PA4851_00585,P:GO:0055114
PA4851_00590,F:GO:0008495
PA4851_00590,C:GO:0016021
PA4851_00590,F:GO:0016765
PA4851_00590,P:GO:0048034
PA4851_00595,P:GO:0045454
PA4851_00600,no GO terms
PA4851_00605,no GO terms
PA4851_00610,no GO terms
PA4851_00615,F:GO:0015035
PA4851_00620,P:GO:0006835
PA4851_00620,F:GO:0015293
PA4851_00620,C:GO:0016021
PA4851_00625,F:GO:0003700
PA4851_00625,P:GO:0006355
PA4851_00630,F:GO:0003700
PA4851_00630,P:GO:0006355
PA4851_00635,P:GO:0019836
PA4851_00640,F:GO:0003700
PA4851_00640,P:GO:0006355
PA4851_00645,no GO terms
PA4851_00650,P:GO:0006355
PA4851_00655,no GO terms
PA4851_00660,P:GO:0009269
PA4851_00665,no GO terms
PA4851_00670,F:GO:0015185
PA4851_00670,P:GO:0015812
PA4851_00670,C:GO:0016020
PA4851_00670,C:GO:0016021
PA4851_00670,F:GO:0022857
PA4851_00670,P:GO:0055085
PA4851_00675,F:GO:0004491
PA4851_00675,F:GO:0016491
PA4851_00675,F:GO:0016620
PA4851_00675,P:GO:0055114
PA4851_00680,no GO terms
PA4851_00685,F:GO:0003824
PA4851_00685,F:GO:0008483
PA4851_00685,F:GO:0030170
PA4851_00690,F:GO:0003700
PA4851_00690,P:GO:0006355
PA4851_00695,P:GO:0006147
PA4851_00695,F:GO:0008270
PA4851_00695,F:GO:0008892
PA4851_00695,F:GO:0016787
PA4851_00695,F:GO:0016810
PA4851_00700,no GO terms
PA4851_00705,F:GO:0005524
PA4851_00705,F:GO:0016887
PA4851_00710,C:GO:0016020
PA4851_00710,F:GO:0022857
PA4851_00710,P:GO:0055085
PA4851_00715,C:GO:0016020
PA4851_00715,F:GO:0022857
PA4851_00715,P:GO:0055085
PA4851_00720,P:GO:0006979
PA4851_00720,F:GO:0016209
PA4851_00720,F:GO:0016491
PA4851_00720,P:GO:0045454
PA4851_00720,F:GO:0051920
PA4851_00720,P:GO:0055114
PA4851_00725,P:GO:0000302
PA4851_00725,F:GO:0008785
PA4851_00725,F:GO:0009055
PA4851_00725,F:GO:0015035
PA4851_00725,F:GO:0016491
PA4851_00725,P:GO:0045454
PA4851_00725,F:GO:0050660
PA4851_00725,F:GO:0051287
PA4851_00725,P:GO:0055114
PA4851_00730,P:GO:0006793
PA4851_00730,F:GO:0008976
PA4851_00735,F:GO:0016787
PA4851_00735,F:GO:0016810
PA4851_00740,no GO terms
PA4851_00745,no GO terms
PA4851_00750,no GO terms
PA4851_00755,C:GO:0005886
PA4851_00760,F:GO:0016491
PA4851_00760,P:GO:0055114
PA4851_00765,F:GO:0000034
PA4851_00765,P:GO:0006146
PA4851_00765,F:GO:0019239
PA4851_00770,F:GO:0003677
PA4851_00770,F:GO:0003700
PA4851_00770,P:GO:0006352
PA4851_00770,P:GO:0006355
PA4851_00770,F:GO:0016987
PA4851_00775,no GO terms
PA4851_00780,F:GO:0005506
PA4851_00780,P:GO:0015891
PA4851_00780,C:GO:0019867
PA4851_00780,F:GO:0038023
